t0,a,m1,m2,nu0,M_ch,K,nu_max,Dt_max
11734.5,5.67035,0.444902,0.319561,6.470031264446328e-06,0.32735545600950045,5.722195952636421e-07,0.00823984167281634,1428660.487869968
1059.21,0.522263,0.617387,0.296691,0.0002531049758860321,0.3677227170897713,6.945937221794016e-07,0.007421552990344811,66.73028401082064
214.893,2.34599,1.14776,0.729698,3.810121490607353e-05,0.7926518884838181,2.4984322901621684e-06,0.02416315989259279,2893.372241566743
1149.6,0.249324,1.00896,0.328319,0.0009281278983804056,0.4862477159063161,1.1065202771944194e-06,0.008213448248346801,1.3062622921446845
3661.39,0.637957,0.532915,0.237655,0.00017213210566375864,0.30493025771461685,5.083907277097772e-07,0.0058242619467956495,254.9039345789612
1275.08,1.15091,0.503397,0.512335,8.155873210075009e-05,0.4421024912860247,9.442094804774121e-07,0.014568461056010411,1005.9708866863309
641.784,1.05067,0.912617,0.439126,0.00010786747440675249,0.543935993321207,1.33385846580643e-06,0.011693981176563254,337.8749834916603
632.023,0.175129,0.659707,0.329926,0.0013562599153076906,0.40138925889639787,8.037845685890714e-07,0.008369118056664267,0.6508054520427334
1682.05,23.4688,1.37833,0.200067,1.1041160958697188e-06,0.4213800321532157,8.716055887374611e-07,0.004817013073354221,104684598.2275382
3784.48,4.6178,0.564717,0.345044,9.604039159910223e-06,0.38197746471419863,7.400476027777784e-07,0.008895760657177341,385276.02618408244
9573.62,0.931836,0.400087,0.236895,8.865378794408798e-05,0.26619553627998005,4.053822239158358e-07,0.005880432602600876,1875.7657023282165
11874.2,4.74303,0.466801,0.306952,8.508643136163842e-06,0.32809595636512945,5.743785544160265e-07,0.007832336896045922,685619.3412026912
1289.94,1.08691,0.65689,0.297295,8.61328583096121e-05,0.37886251369237606,7.300167310982201e-07,0.00742062286437009,1124.9226673655292
7801.38,13.7711,0.513728,0.38321,1.851702477360896e-06,0.3854335877331929,7.512411157019678e-07,0.010175607794216708,30591882.59596552
1291.21,3.18323,0.692338,0.544943,1.9569290797501698e-05,0.5339589614615796,1.2933315912030015e-06,0.015887379991149836,33036.851267803715
1594.82,0.869811,0.504706,0.386751,0.00011629359601732136,0.383938680412314,7.463912386130227e-07,0.010306533611594105,494.07247393188453
475.452,15.7876,1.30954,0.298374,2.0197619218061873e-06,0.5174582121704737,1.2274078386715668e-06,0.007355082756777982,14852038.505438628
319.602,1.8555,0.782669,0.700832,4.814990418982431e-05,0.6445515616680265,1.7699440092345854e-06,0.023194410896634286,2187.9030580615768
5189.2,2.57033,0.535231,0.298782,2.214348773183856e-05,0.3452254859419753,6.252228412700442e-07,0.007531317382027431,49153.12393264085
274.385,2.24497,0.936397,0.752649,3.86053833748625e-05,0.7299669645038825,2.177887437593134e-06,0.02586780355548911,3204.884222465018
889.999,0.395464,0.379783,0.55413,0.0003882716862059748,0.39794864118681145,7.923343116689332e-07,0.010010545273905228,18.688029764155285
2495.7,0.83057,0.79138,0.233162,0.0001336113851111268,0.36101043229967883,6.73591099387122e-07,0.005649737500835876,378.0737377396298
9951.9,0.621209,0.374822,0.219391,0.00015731039060311997,0.2478779518517632,3.599647036597022e-07,0.005421185902500625,457.71438698482734
272.602,3.31408,0.798329,0.77939,2.080239265783092e-05,0.6866827059131677,1.9669361826644236e-06,0.027938648046464183,18456.516245228224
4484.67,10.3974,0.533755,0.247223,2.633754044196524e-06,0.31169564696695456,5.27328586278505e-07,0.006082190655099715,17033094.263828408
11097.7,0.670687,0.388274,0.218326,0.00014168188097564573,0.25140029301647127,3.685301740579597e-07,0.005382219238245227,590.9774616667364
753.686,0.620571,0.673539,0.465143,0.0002181006482426947,0.4856115988457321,1.104108716797854e-06,0.012807327161266297,62.441028466356165
875.492,0.17242,0.482447,0.328615,0.0012568646441107197,0.34535948283053586,6.256273534782718e-07,0.008472688057423855,1.0259761654173314
10550.9,0.48521,0.251753,0.286115,0.00021681343134309227,0.23354685720433005,3.25951861374912e-07,0.006447684726496439,214.8527861961373
5842.2,11.2038,0.55709,0.232874,2.3680920091481833e-06,0.30782675161502976,5.164647502281897e-07,0.005687788310602783,23092550.1013571
274.431,1.72505,0.761028,0.740545,5.4039788135733436e-05,0.6535246358270342,1.8112011808507154e-06,0.02557358110430848,1571.7097529755135
624.076,0.635367,0.739099,0.443327,0.00021453242764541124,0.49510952775741546,1.1403344011730152e-06,0.011959767264606775,63.17604658061846
5687.09,0.507963,0.270983,0.317128,0.00021165302294850363,0.25504341831650224,3.7747392239016385e-07,0.006961990371923328,197.84152474663873
